Nouns,frequency,number_of_reviews
game,16370,2228
fun,2136,722
graphics,1990,698
zelda,1322,242
characters,1030,325
story,1028,346
way,958,345
controller,840,251
music,822,257
levels,814,240
lot,804,294
level,790,234
thing,752,302
people,726,267
world,718,230
series,706,238
gameplay,698,250
nintendo,660,207
mario,650,170
version,642,176
link,642,132
video,612,224
times,608,245
things,594,211
system,564,217
player,554,196
ocarina,542,138
character,482,168
bit,468,188
computer,464,167
everything,462,198
weapons,458,161
part,454,167
controls,450,174
mode,446,130
play,440,184
something,438,179
raider,424,66
tomb,412,66
wii,408,151
playstation,404,136
adventure,398,144
price,396,177
case,394,128
money,370,161
fan,368,159
anyone,366,166
nothing,364,143
gaming,364,140
battle,364,129
puzzles,358,141
enemies,354,109
fantasy,348,107
end,344,138
gamecube,344,131
life,332,126
sound,328,115
friends,328,140
crash,320,56
kart,316,81
action,314,133
fighter,314,57
fact,312,128
storyline,310,121
problem,308,139
items,304,108
rpg,302,108
place,300,117
goldeneye,288,75
man,288,91
card,284,95
course,280,103
missions,280,87
quality,272,118
windows,270,93
stars,268,122
race,266,84
plot,266,91
control,266,105
movie,264,94
anything,264,112
street,262,40
review,260,113
players,258,99
reason,254,108
multiplayer,252,104
kind,252,107
experience,252,110
legend,252,86
memory,250,92
screen,250,97
person,242,106
problems,242,112
star,242,85
hands,234,101
moves,234,77
hyrule,232,66
line,232,106
others,230,103
point,230,94
boss,230,72
challenge,222,80
lara,222,37
super,222,68
side,220,90
controllers,220,77
this,218,71
combat,216,69
kids,214,88
item,212,92
while,210,89
chess,210,43
everyone,208,95
fans,208,72
value,208,89
friend,204,90
lots,202,81
enemy,200,68
opinion,200,88
fritz,198,32
snes,198,55
temple,196,54
stuff,196,84
replay,194,83
tekken,194,34
couple,194,82
condition,194,94
console,194,88
love,194,90
banjo,192,37
sword,192,47
water,192,73
difficulty,192,74
ones,190,84
bond,188,48
cars,186,57
right,186,81
amazon,186,82
kid,186,84
gamer,184,79
button,184,68
type,184,86
gamers,182,65
dirt,180,45
power,180,76
bosses,178,75
dungeon,178,36
arcade,176,53
order,176,68
racing,176,69
work,174,81
style,172,71
mission,172,50
car,170,38
dungeons,170,54
engine,170,44
fps,168,57
effects,168,69
tracks,168,56
cable,168,53
strategy,168,69
buy,166,72
collection,166,69
copy,162,66
rock,162,68
program,160,53
reviews,160,70
guys,160,70
metal,158,34
guide,158,65
fighting,158,61
fire,158,47
idea,156,72
monsters,156,61
buttons,154,55
forest,152,48
xbox,152,64
amount,150,65
skin,150,42
software,150,48
someone,148,67
title,148,61
quest,148,56
mask,146,56
son,146,68
tree,146,37
boy,144,63
number,144,54
master,144,57
minutes,144,62
mind,140,64
job,138,62
parts,138,55
chance,138,62
sequel,138,61
team,136,44
box,136,61
internet,134,51
features,134,51
grip,132,56
places,132,58
soundtrack,132,54
microphone,132,39
seller,132,55
feature,132,56
bandicoot,130,29
variety,130,47
help,130,56
thanks,128,57
past,128,47
example,128,56
matter,126,54
feel,126,62
kazooie,126,33
use,126,59
picture,126,51
guy,126,56
playing,126,60
track,126,50
alot,124,54
option,124,47
area,124,52
song,124,41
memories,124,54
turok,124,21
design,122,47
hero,122,53
death,122,50
adapter,122,35
shooter,122,51
speed,122,52
princess,120,50
online,120,55
home,120,51
ganondorf,120,38
modes,120,47
piece,120,51
package,118,43
city,118,39
band,118,46
options,116,46
worlds,116,43
pieces,114,43
plenty,114,47
genre,114,46
age,114,55
look,114,53
areas,114,42
cables,114,41
works,112,56
camera,112,42
school,112,47
points,112,48
ship,112,39
move,110,42
gun,110,46
one,110,54
half,110,37
name,110,46
unreal,108,19
issues,108,47
great,108,41
disc,108,47
gold,108,45
house,108,44
rest,106,52
release,106,47
skills,106,43
deal,106,50
color,106,44
systems,106,46
theme,106,40
heart,106,44
mountain,106,30
all,104,41
james,104,35
battles,104,41
eye,104,29
wars,104,29
head,104,43
deku,104,28
charger,104,36
weapon,104,41
witch,102,35
races,102,41
attack,102,39
halflife,102,25
titles,102,37
sort,102,43
ground,102,42
interface,102,34
sister,102,42
match,100,25
book,100,41
not,100,45
room,100,43
difference,100,45
cards,100,37
machine,98,35
ganon,98,24
majora,98,43
sense,98,42
capcom,98,25
psp,98,27
brother,98,43
edition,98,37
units,98,25
puzzle,98,41
songs,98,28
tactics,98,29
family,96,43
pack,96,40
guns,94,40
monster,94,29
oot,94,24
flaws,94,36
rating,94,41
stick,92,35
legends,92,23
perfect,92,41
issue,92,42
first,92,45
breath,92,27
movies,92,41
words,92,41
store,90,39
christmas,90,41
aspect,90,41
epic,90,41
training,90,25
space,90,40
rogue,90,19
creatures,90,36
gift,88,38
land,88,36
ability,88,37
tons,88,41
notes,88,24
versions,88,31
children,88,37
golden,86,21
wwf,86,13
atmosphere,86,33
brand,86,40
rpgs,86,30
cord,86,31
company,86,37
history,86,38
secrets,86,35
party,84,37
quests,84,38
